"organismo","organismo_descripcion","email_oficial","fuero","circunscripcion","localidad","categoria","tipo","materia","codigo_organismo"
"jdopaz0000nog","Jdo Paz Nogoyá","jdopazcat1-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",1,"jdo","paz","nogpaz01"
"jdopaz0000ove","Jdo Paz Oro Verde","jdopazcat3-ov@jusentrerios.gov.ar","Civil y Comercial","Paraná","Oro Verde",3,"jdo","paz","overpaz"
"jdopaz0000pbr","Jdo Paz Pueblo Brugo","jdopazcat3-pbru@jusentrerios.gov.ar","Civil y Comercial","Paraná","Pueblo Brugo",3,"jdo","paz","parpbrupaz3"
"jdopaz0000ram","Jdo Paz Ramirez","jdopazcat2-ram@jusentrerios.gov.ar","Civil y Comercial","Diamante","Ramirez",2,"jdo","paz","rampaz"
"jdopaz0000sbe","Jdo Paz San Benito","jdopazcat2-sbenito@jusentrerios.gov.ar","Civil y Comercial","Paraná","San Benito",2,"jdo","paz","sbenpaz"
"jdopaz0000seg","Jdo Paz Segui","jdopazcat3-seg@jusentrerios.gov.ar","Civil y Comercial","Paraná","Segui",3,"jdo","paz","parsegpaz3"
"jdopaz0000sel","Jdo de Paz Sta Elena","jdopazcat2-ele@jusentrerios.gov.ar","Civil y Comercial","La Paz","Santa Elena",2,"jdo","paz","selenapaz"
"jdopaz0000sja","Jdo Paz San Jaime Front","jdopazcat3-sjf@jusentrerios.gov.ar","Civil y Comercial","Federación","San Jaime de la Frontera",3,"jdo","paz","chasjfpaz3"
"jdopaz0000sjo","Jdo Paz San Jose","jdopazcat2-sjose@jusentrerios.gov.ar","Civil y Comercial","Colón","San Jose",2,"jdo","paz","sjosepaz"
"jdopaz0000slu","Jdo Paz Sauce de Luna","jdopazcat2-luna@jusentrerios.gov.ar","Civil y Comercial","Federal","Sauce de Luna",2,"jdo","paz","fedlunapaz2"
"jdopaz0000ssa","Jdo Paz San Svdor","jdopazcat1-ssdor@jusentrerios.gov.ar","Civil y Comercial","San Salvador","San Salvador",1,"jdo","paz","salpaz01"
"jdopaz0000tal","Jdo Paz Rosario Tala","jdopazcat1-tala@jusentrerios.gov.ar","Civil y Comercial","Tala","Rosario del Tala",1,"jdo","paz","rospaz01"
"jdopaz0000uba","Jdo Paz Ubajay","jdopazcat2-uba@jusentrerios.gov.ar","Civil y Comercial","Colón","Ubajay",3,"jdo","paz","uruubapaz3"
"jdopaz0000urd","Jdo Paz Urdinarrain","jdopazcat2-urd@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Urdinarrain",2,"jdo","paz","guaurdpaz2"
"jdopaz0000uru","Jdo Paz C.del Uruguay","jdopazcat1-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",1,"jdo","paz","urupaz01"
"jdopaz0000vca","Jdo Paz Villa Clara","jdopazcat3-vcla@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villa Clara",3,"jdo","paz","vilvclapaz3"
"jdopaz0000vdo","Jdo Paz Villa Dominguez","jdopazcat3-vdom@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villa Dominguez",3,"jdo","paz","vilvdompaz3"
"jdopaz0000vel","Jdo Paz Villa Elisa","jdopazcat2-veli@jusentrerios.gov.ar","Civil y Comercial","Colón","Villa Elisa",2,"jdo","paz","velipaz"
"jdopaz0000via","Jdo Paz Viale","jdopazcat2-via@jusentrerios.gov.ar","Civil y Comercial","Paraná","Viale",2,"jdo","paz","vialepaz"
"jdopaz0000vic","Jdo Paz Victoria","jdopazcat1-vic@jusentrerios.gov.ar","Civil y Comercial","Victoria","Victoria",1,"jdo","paz","vicpaz01"
"jdopaz0000vil","Jdo Paz Villaguay","jdopazcat1-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",1,"jdo","paz","vilapaz01"
"jdopaz0000vma","Jdo Paz Villa Mantero","jdopazcat3-vman@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Villa Mantero",3,"jdo","paz","uruvmanpaz3"
"jdopaz0000vpa","Jdo Paz V.Paranacito","jdopaz-vpa@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Villa Paranacito",3,"jdo","paz","pcitopaz"
"jdopaz0000vsa","Jdo Paz Villa San Marcial","jdopazcat3-vsm@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Villa San Marcial",3,"jdo","paz","uruvsmpaz3"
"jdopaz0000vur","Jdo Paz Villa Urquiza","jdopazcat3-vu@jusentrerios.gov.ar","Civil y Comercial","Paraná","Villa Urquiza",3,"jdo","paz","parvupaz3"
"jdopaz0100pna","Jdo Paz 1 Parana","jdopaz1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",1,"jdo","paz","parpaz01"
"jdopaz0200pna","Jdo Paz 2 Parana","jdopaz2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",1,"jdo","paz","parpaz02"
"jdopen0000fel","Jdo Penal Civ Com y Laboral","jdogarytran-fel@jusentrerios.gov.ar","Civil y Comercial","Feliciano","Feliciano",NA,"jdo","cco|lab|pen","felcyc01"
"jdopep0000gch","Jdo de Ejec.Penas y Med.Seguridad","jdoepms-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"jdo","pep","guaejepen"
"jdopep0000pna","Jdo de Ejec.Penas y Med.Seguridad","jdoepms-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jdo","pep","parepenas"
"jdopna0000pna","Jdo Penal de Niños y Adolescentes","jdopenmen-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jdo","pna",NA
"jezpen0000cha","Juez de Garantías",NA,"Penal","Chajarí","Chajarí",NA,"jez","pen",NA
"jezpen0000col","Juez de Garantías","jdoinst-col@jusentrerios.gov.ar","Penal","Colón","Colón",NA,"jez","pen",NA
"jezpen0000dia","Juez de Garantías","jdoinst-dia@jusentrerios.gov.ar","Penal","Diamante","Diamante",NA,"jez","pen",NA
"jezpen0000fed","Juez de Garantías","jdoinst-fcion@jusentrerios.gov.ar","Penal","Federación","Federación",NA,"jez","pen",NA
"jezpen0000fel","Juez de Garantías","oga-feliciano@jusentrerios.gov.ar","Penal","Feliciano","Feliciano",NA,"jez","pen",NA
"jezpen0000frl","Juez de Garantías","jdoinst-fral@jusentrerios.gov.ar","Penal","Federal","Federal",NA,"jez","pen",NA
"jezpen0000lpa","Juez de Garantías","jdogarantia-lapaz@jusentrerios.gov.ar","Penal","La Paz","La Paz",NA,"jez","pen",NA
"jezpen0000nog","Juez de Garantías",NA,"Penal","Nogoyá","Nogoyá",NA,"jez","pen","nogins01"
"jezpen0000tal","Juez de Garantías","jdoinst-tala@jusentrerios.gov.ar","Penal","Tala","Rosario del Tala",NA,"jez","pen",NA
"jezpen0000vic","Juez de Garantías","jdoinst-vic@jusentrerios.gov.ar","Penal","Victoria","Victoria",NA,"jez","pen",NA
"jezpen0000vil","Juez de Garantías","jdoinsts1-vil@jusentrerios.gov.ar","Penal","Villaguay","Villaguay",NA,"jez","pen",NA
"jezpen0100con","Juez de Garantías 1","jdogar1-con@jusentrerios.gov.ar","Penal","Concordia","Concordia",NA,"jez","pen",NA
"jezpen0100gay","Juez de Garantías 1",NA,"Penal","Gualeguay","Gualeguay",NA,"jez","pen",NA
"jezpen0100gch","Juez de Garantías 1","jdogar1-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"jez","pen",NA
"jezpen0100pna","Juez de Garantía 1","jgarantia1-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jez","pen",NA
"jezpen0100uru","Juez de Garantías 1",NA,"Penal","Uruguay","Concepción del Uruguay",NA,"jez","pen",NA
"jezpen0200con","Juez de Garantías 2","jdogar2-con@jusentrerios.gov.ar","Penal","Concordia","Concordia",NA,"jez","pen",NA
"jezpen0200gay","Juez de Garantías 2",NA,"Penal","Gualeguay","Gualeguay",NA,"jez","pen",NA
"jezpen0200gch","Juez de Garantías 2","jdogar2-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"jez","pen",NA
"jezpen0200pna","Juez de Garantía 2","jgarantia2-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jez","pen",NA
"jezpen0200uru","Juez de Garantías 2",NA,"Penal","Uruguay","Concepción del Uruguay",NA,"jez","pen",NA
"jezpen0300con","Juez de Garantías 3",NA,"Penal","Concordia","Concordia",NA,"jez","pen",NA
"jezpen0300pna","Juez de Garantía 3","jgarantia3-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jez","pen",NA
"jezpen0400pna","Juez de Garantía 4","jgarantia4-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jez","pen",NA
"muistj0100pna","Mesa Unica Informatizada","mui@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"mui","cco|fam|paz|lab",NA
"muistj0200con","Mesa Unica Informatizada",NA,"Civil y Comercial","Concordia","Concordia",NA,"mui","cco|fam|paz|lab",NA
"muistj0300gch","Mesa Unica Informatizada","mui-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"mui","cco|fam|paz|lab",NA
"muistj0400gay","Mesa Unica Informatizada",NA,"Civil y Comercial","Gualeguay","Gualeguay",NA,"mui","cco|fam|paz|lab",NA
"muistj0500uru","Mesa Unica Informatizada","mui-uruguay@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"mui","cco|fam|paz|lab",NA
"ogapen0000con","OGA","ogaconcordia@jusentrerios.gov.ar","Penal","Concordia","Concordia",1,"oga","pen","conoga"
"ogapen0000gay","OGA","ogagualeguay@jusentrerios.gov.ar","Penal","Gualeguay","Gualeguay",1,"oga","pen","uayoga"
"ogapen0000gch","OGA","jdogar1-gchu@jusentrerios.gov.ar, jdogar2-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",1,"oga","pen","guaoga"
"ogapen0000lpa","OGA","oga-lapaz@jusentrerios.gov.ar","Penal","La Paz","La Paz",1,"oga","pen","pazoga"
"ogapen0000nog","OGA","oganogoya@jusentrerios.gov.ar","Penal","Nogoyá","Nogoyá",1,"oga","pen",NA
"ogapen0000pna","OGA","ogaparana@jusentrerios.gov.ar","Penal","Paraná","Paraná",1,"oga","pen","paroga"
"ogapen0000uru","OGA","jdogarantia-uru@jusentrerios.gov.ar","Penal","Uruguay","Concepción del Uruguay",1,"oga","pen","uruoga"
"omapen0000cha","OMA","mediacionpenalchajari@jusentrerios.gov.ar","Penal","Chajarí","Chajarí",NA,"oma","pen",NA
"omapen0000col","OMA","mediacionpenalcolon@jusentrerios.gov.ar","Penal","Colón","Colón",NA,"oma","pen",NA
"omapen0000con","OMA","mediacionpenalconcordia@jusentrerios.gov.ar","Penal","Concordia","Concordia",NA,"oma","pen",NA
"omapen0000dia","OMA","mediacionpenaldte@hotmail.com","Penal","Diamante","Diamante",NA,"oma","pen",NA
"omapen0000fed","OMA","mediacionpenalfederacion@jusentrerios.gov.ar","Penal","Federación","Federación",NA,"oma","pen",NA
"omapen0000fel","OMA","mediacionpenfeliciano@gmail.com","Penal","Feliciano","Feliciano",NA,"oma","pen",NA
"omapen0000frl","OMA",NA,"Penal","Federal","Federal",NA,"oma","pen",NA
"omapen0000gay","OMA","mediacionpenalgualeguay@jusentrerios.gov.ar","Penal","Gualeguay","Gualeguay",NA,"oma","pen",NA
"omapen0000gch","OMA","mediacionpenalgualeguaychu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"oma","pen",NA
"omapen0000lpa","OMA","mediacionpenallapaz@jusentrerios.gov.ar","Penal","La Paz","La Paz",NA,"oma","pen",NA
"omapen0000nog","OMA","mediacionpenalnogoya@jusentrerios.gov.ar","Penal","Nogoyá","Nogoyá",NA,"oma","pen",NA
"omapen0000pna","OMA","mediacionpenalparana@gmail.com","Penal","Paraná","Paraná",NA,"oma","pen","parprobation"
"omapen0000tal","OMA","mediacionpenaltala@jusentrerios.gov.ar","Penal","Tala","Rosario del Tala",NA,"oma","pen",NA
"omapen0000uru","OMA","mediacionpenaluruguay@jusentrerios.gov.ar","Penal","Uruguay","Concepción del Uruguay",NA,"oma","pen",NA
"omapen0000vic","OMA","mediacionpenalvictoria@jusentrerios.gov.ar","Penal","Victoria","Victoria",NA,"oma","pen",NA
"omapen0000vil","OMA","oficinamediacionpenalvillaguay@gmail.com","Penal","Villaguay","Villaguay",NA,"oma","pen",NA
"salcco0200pna","Sala 2 Civil y Comercial STJER","salacyc-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"sal","cco","parstsc01"
"sallab0300pna","Sala 3 del Trabajo STJER","salalab-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"sal","lab","parstsl01"
"salpen0100pna","Sala 1 Penal STJER","salapen-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"sal","pen|ppc","parstsp01"
"stjcad0000pna","STJER Contencioso Administrativo","contencioso@jusentrerios.gov.ar","ConAdm","Entre Ríos","Paraná",NA,"stj","cad","parconten"
"tjapen0000con","Tribunal de Juicio y Apelaciones","salapen-con@jusentrerios.gov.ar","Penal","Concordia","Concordia",NA,"tja","pen",NA
"tjapen0000gay","Tribunal de Juicio y Apelaciones",NA,"Penal","Gualeguay","Gualeguay",NA,"tja","pen","uayapel"
"tjapen0000gch","Tribunal de Juicio y Apelaciones","tribunaljuicios-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"tja","pen",NA
"tjapen0000lpa","Tribunal de Juicio y Apelaciones de Paraná Con Asiento En La Paz","tribjya-paranalapaz@jusentrerios.gov.ar","Penal","La Paz","La Paz",NA,"tja","pen","pazcorr01"
"tjapen0000nog","Tribunal de Juicio y Apelaciones de Gualeguay Con Asiento En Nogoyá",NA,"Penal","Nogoyá","Nogoyá",NA,"tja","pen",NA
"tjapen0000pna","Tribunal de Juicio y Apelaciones",NA,"Penal","Paraná","Paraná",NA,"tja","pen",NA
"tjapen0000uru","Tribunal de Juicio y Apelaciones","salapen-uru@jusentrerios.gov.ar","Penal","Uruguay","Concepción del Uruguay",NA,"tja","pen",NA
"tracam0100pna","Cam Penal Sala I (en Trans )","transicionjuicios@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"tra","pen",NA
"tracam0200pna","Cam Penal Sala II (en Trans )","aarduino@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"tra","pen",NA
"tracor0100pna","Jdo Correccional 1","aarus@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"tra","pen",NA
"tracor0202pna","Jdo Correccional 2","mspossito@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"tra","pen",NA
"transi0000cha","Transición","jdoinst-cha@jusentrerios.gov.ar","Penal","Chajarí","Chajarí",NA,"tra","pen",NA
"transi0000col","Transición","jdoinst-col@jusentrerios.gov.ar","Penal","Colón","Colón",NA,"tra","pen","coltra01"
"transi0000dia","Transición","jdoinst-dia@jusentrerios.gov.ar","Penal","Diamante","Diamante",NA,"tra","pen",NA
"transi0000fed","Transición","jdoinst-fcion@jusentrerios.gov.ar","Penal","Federación","Federación",NA,"tra","pen",NA
"transi0000frl","Transición","jdoinst-fral@jusentrerios.gov.ar","Penal","Federal","Federal",NA,"tra","pen",NA
"transi0000lpa","Transición","oga-lapaz@jusentrerios.gov.ar","Penal","La Paz","La Paz",NA,"tra","pen",NA
"transi0000nog","Transición","jdoinst-nog@jusentrerios.gov.ar","Penal","Nogoyá","Nogoyá",NA,"tra","pen",NA
"transi0000vic","Transición","jdoinst-vic@jusentrerios.gov.ar","Penal","Victoria","Victoria",NA,"tra","pen",NA
"transi0000vil","Transición","jdoinsts1-vil@jusentrerios.gov.ar","Penal","Villaguay","Villaguay",NA,"tra","pen",NA
"transi0100gay","Transición1","jdoinsts1-gua@jusentrerios.gov.ar","Penal","Gualeguay","Gualeguay",NA,"tra","pen",NA
"transi0100gch","Transición1","jdogar1-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"tra","pen",NA
"transi0100pna","Transición1","jdotransicion2-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"tra","pen",NA
"transi0100uru","Transición1","jdogarantia-uru@jusentrerios.gov.ar","Penal","Uruguay","Concepción del Uruguay",NA,"tra","pen",NA
"transi0200gay","Transición2","jdoinsts2-gua@jusentrerios.gov.ar","Penal","Gualeguay","Gualeguay",NA,"tra","pen",NA
"transi0200gch","Transición2","jdogar2-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"tra","pen",NA
"transi0200pna","Transición2","jdotransicion2-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"tra","pen",NA
"transi0200uru","Transición2","jdogarantia-uru@jusentrerios.gov.ar","Penal","Uruguay","Concepción del Uruguay",NA,"tra","pen",NA
"turvol0100pna","Turno Voluntario Paraná","turnovoluntario@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",1,"jdo","paz",NA
"def0000000cha","Defensoría Pobres Y Menores",NA,"defensa","Chajarí","Chajarí",NA,NA,NA,NA
"ufi0000000cha","Unidad Fiscal UFI",NA,"fiscal","Chajarí","Chajarí",NA,NA,NA,NA
"def0000000col","Ministerio Público La Defensa",NA,"defensa","Colón","Colón",NA,NA,NA,NA
"ufi0000000col","Unidad Fiscal UFI",NA,"fiscal","Colón","Colón",NA,NA,NA,NA
"def0000000con","Defensoría Pobres Y Menores",NA,"defensa","Concordia","Concordia",NA,NA,NA,NA
"fiscam0000con","Fiscalía Cámara",NA,"fiscal","Concordia","Concordia",NA,NA,NA,NA
"ufi0000000con","Unidad Fiscal UFI",NA,"fiscal","Concordia","Concordia",NA,NA,NA,NA
"def0000000dia","Defensoría Pobres Y Menores",NA,"defensa","Diamante","Diamante",NA,NA,NA,NA
"ufi0000000dia","Unidad Fiscal UFI",NA,"fiscal","Diamante","Diamante",NA,NA,NA,NA
"def0000000fed","Defensoría Pobres Y Menores",NA,"defensa","Federación","Federación",NA,NA,NA,NA
"ufi0000000fed","Unidad Fiscal UFI",NA,"fiscal","Federación","Federación",NA,NA,NA,NA
"def0000000frl","Defensoría Pobres Y Menores",NA,"defensa","Federal","Federal",NA,NA,NA,NA
"ufi0000000frl","Unidad Fiscal UFI",NA,"fiscal","Federal","Federal",NA,NA,NA,NA
"def0000000fel","Defensoría Pobres Y Menores",NA,"defensa","Feliciano","Feliciano",NA,NA,NA,NA
"ufi0000000fel","Unidad Fiscal UFI",NA,"fiscal","Feliciano","Feliciano",NA,NA,NA,NA
"def0000000gay","Defensoría Pobres Y Menores",NA,"defensa","Gualeguay","Gualeguay",NA,NA,NA,NA
"ufi0000000gay","Unidad Fiscal UFI",NA,"fiscal","Gualeguay","Gualeguay",NA,NA,NA,NA
"def0000000gch","Defensoría Pobres Y Menores",NA,"defensa","Gualeguaychú","Gualeguaychú",NA,NA,NA,NA
"ufi0000000gch","Unidad Fiscal UFI",NA,"fiscal","Gualeguaychú","Gualeguaychú",NA,NA,NA,NA
"def0000000ibi","Defensoría Pobres Y Menores",NA,"defensa","Islas del Ibicuy","Villa Paranacito",NA,NA,NA,NA
"ufi0000000ibi","Unidad Fiscal UFI",NA,"fiscal","Islas del Ibicuy","Villa Paranacito",NA,NA,NA,NA
"def0000000lpa","Defensoría Pobres Y Menores",NA,"defensa","La Paz","La Paz",NA,NA,NA,NA
"ufi0000000lpa","Unidad Fiscal UFI",NA,"fiscal","La Paz","La Paz",NA,NA,NA,NA
"def0000000nog","Defensoría Pobres Y Menores",NA,"defensa","Nogoyá","Nogoyá",NA,NA,NA,NA
"ufi0000000nog","Unidad Fiscal UFI",NA,"fiscal","Nogoyá","Nogoyá",NA,NA,NA,NA
"def0000000pna","Defensoría Pobres Y Menores",NA,"defensa","Paraná","Paraná",NA,NA,NA,NA
"def0000100par","Defensoria Primera Instancia Penal",NA,"defensa","Paraná","Paraná",NA,NA,NA,NA
"defgra0000par","Defensoria General",NA,"defensa","Paraná","Paraná",NA,NA,NA,NA
"fiscam0000pna","FISCALIAS DE CAMARA",NA,"fiscal","Paraná","Paraná",NA,NA,NA,NA
"pro0000000pna","Procuración General La Provincia",NA,"fiscal","Paraná","Paraná",NA,NA,NA,NA
"ruaer00000par","Registro Único Adopciones",NA,"defensa","Paraná","Paraná",NA,NA,NA,NA
"ufi0000000pna","Unidad Fiscal UFI",NA,"fiscal","Paraná","Paraná",NA,NA,NA,NA
"def0000000ssa","Defensoría Pobres Y Menores",NA,"defensa","San Salvador","San Salvador",NA,NA,NA,NA
"ufi0000000ssa","Unidad Fiscal UFI",NA,"fiscal","San Salvador","San Salvador",NA,NA,NA,NA
"def0000000tal","Defensoría Pobres Y Menores",NA,"defensa","Tala","Rosario del Tala",NA,NA,NA,NA
"ufi0000000tal","Unidad Fiscal UFI",NA,"fiscal","Tala","Rosario del Tala",NA,NA,NA,NA
"def0000000uru","Defensoría Pobres Y Menores",NA,"defensa","Uruguay","Concepción del Uruguay",NA,NA,NA,NA
"ufi0000000uru","Ministerio Público Fiscal",NA,"fiscal","Uruguay","Concepción del Uruguay",NA,NA,NA,NA
"fiscam0000uru","Fiscalia Cámara",NA,"fiscal","Uruguay","Concepción del Uruguay",NA,NA,NA,NA
"def0000000vic","Defensoría Pobres Y Menores",NA,"defensa","Victoria","Victoria",NA,NA,NA,NA
"ufi0000000vic","Unidad Fiscal UFI",NA,"fiscal","Victoria","Victoria",NA,NA,NA,NA
"def0000000vil","Ministerio Público La Defensa",NA,"defensa","Villaguay","Villaguay",NA,NA,NA,NA
"ufi0000000vil","Unidad Fiscal UFI",NA,"fiscal","Villaguay","Villaguay",NA,NA,NA,NA
"ogapen0000cha","OGA","jdoinst-cha@jusentrerios.gov.ar","Penal","Chajarí","Chajarí",1,"oga","pen","chagar01"
"ogapen0000col","OGA","jdoinst-col@jusentrerios.gov.ar","Penal","Colón","Colón",1,"oga","pen","colgar01"
"ogapen0000dia","OGA","jdoinst-dia@jusentrerios.gov.ar","Penal","Diamante","Diamante",1,"oga","pen","diains01"
"ogapen0000fed","OGA","jdoinst-fcion@jusentrerios.gov.ar","Penal","Federación","Federación",1,"oga","pen","federaciongar01"
"ogapen0000fel","OGA","oga-feliciano@jusentrerios.gov.ar","Penal","Feliciano","Feliciano",1,"oga","pen",NA
"ogapen0000frl","OGA","jdoinst-fral@jusentrerios.gov.ar","Penal","Federal","Federal",1,"oga","pen","fedgar01"
"ogapen0000tal","OGA","jdoinst-tala@jusentrerios.gov.ar","Penal","Tala","Rosario del Tala",1,"oga","pen","rosgar01"
"ogapen0000vic","OGA","jdoinst-vic@jusentrerios.gov.ar","Penal","Victoria","Victoria",1,"oga","pen","vicgar01"
"ogapen0000vil","OGA","jdoinsts1-vil@jusentrerios.gov.ar","Penal","Villaguay","Villaguay",1,"oga","pen","vilgar01"
"aghstj0000pna","Gestión Humana","sgp@jusentrerios.gov.ar","Administrativo","Paraná","Paraná",NA,"adm","agh",NA
"jdolab0000col","Jdo Laboral","jdolab-col@jusentrerios.gov.ar","Laboral","Colón","Colón",NA,"jdo","lab","coltrab01"
"camcad0000pna","Cámara Contencioso Administrativo-Paraná","seccamcontad-pna@jusentrerios.gov.ar","ConAdm","Paraná","Paraná",NA,"cam","cad","parccont"
"camcad0000uru","Cámara Contencioso Administrativo-Uruguay","seccamcontad-uru@jusentrerios.gov.ar","ConAdm","Uruguay","Concepción del Uruguay",NA,"cam","cad","urucamcon"
"jdopaz0000ara","Jdo Paz Aranguren","jdopazcat3-ara@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Aranguren",3,"jdo","paz",NA
"jdofam0100gch","Jdo Fam Pen Niñ Ado 1","jdofliamens1-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","fam|pen","guafam"
"jdofam0200gch","Jdo Fam Pen Niñ Ado 2","jdofliamens2-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","fam|pen","guafam"
"jdofam0100con","Jdo Fam Pen Niñ Ado 1","jdofliamen1s1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam|pen","confam01"
"jdofam0200con","Jdo Fam Pen Niñ Ado 2","jdofliamen2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam|pen","confam02"
"jdofam0300con","Jdo Fam Pen Niñ Ado 3","jdofliamen3-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam|pen","confam03"
"jdofam0001uru","Jdo Fam Pen Niñ Ado sec.1",NA,"Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","fam|pen",NA
"jdofam0002uru","Jdo Fam Pen Niñ Ado sec.2",NA,"Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","fam|pen",NA
"campen0000con","Cam de Casación Penal","camaracasacion-con@jusentrerios.gov.ar","Penal","Concordia","Concordia",NA,"cam","pen","conccpen"
"stjssi0100pna","Secretaría de Superintendencia Nº 1","esalomon@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjssi0200pna","Secretaría de Superintendencia Nº 2","superintendencia2-pna@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjsca0000pna","Secretaría en lo Contencioso Adm. y Asuntos Judiciales","contencioso@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjsjb0000pna","Secretaría de Jurisprudencia y Legislación, Biblioteca y Archivo","erodriguezvagaria@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjpla0000pna","Área de Planeamiento e Infraestructura","planeamiento@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjghu0000pna","Área de Gestión Humana","personal@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjpge0000pna","Área de Planificación, Gestión y Estadística","apge@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjaad0000pna","Área de Asuntos Administrativos","asuntosadm@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjbib0000pna","Biblioteca","biblioteca@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjarc0000pna","Archivo","archivo@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjcon0000pna","Área de Contaduría General","contaduria@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjdmf0000pna","Departamento Médico Forense","dptomedico-pna@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjsgf0000pna","Servicio de Genética Forense","adn@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjacu0000pna","Acuerdos","acuerdos@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjcer0000pna","Oficina de Ceremonial","ceremonial@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjcom0000pna","Oficina de Compras y Asesoramiento","compras@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjinf0000pna","Oficina de Informática","informatica@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
"stjper0000pna","Oficina Pericial","peritocaligrafostj@jusentrerios.gov.ar","STJ","Paraná","Paraná",NA,"stj",NA,NA
